Wall time,Step,Value
1776707216.819658,16384,17.219999313354492
1776707234.0636144,32768,22.600000381469727
1776707264.736331,49152,27.84000015258789
1776707284.8775306,65536,47.709999084472656
1776707304.1784372,81920,81.58999633789062
1776707338.7341585,98304,132.8000030517578
1776707380.9571204,114688,146.1300048828125
1776707422.7275136,131072,171.10000610351562
1776707449.2855897,147456,176.17999267578125
1776707469.7642157,163840,171.3800048828125
1776707488.6631358,180224,164.64999389648438
1776707512.3585527,196608,145.41000366210938
1776707536.27367,212992,143.30999755859375
1776707565.8453014,229376,144.02000427246094
1776707582.768768,245760,136.36000061035156
1776707599.311026,262144,138.3300018310547
1776707615.4833086,278528,142.19000244140625
1776707631.8161035,294912,150.9499969482422
1776707648.2672932,311296,148.22999572753906
1776707664.1543386,327680,141.39999389648438
1776707680.372403,344064,141.5800018310547
1776707696.4003732,360448,144.2899932861328
1776707713.5007436,376832,148.72999572753906
1776707733.796978,393216,146.85000610351562
1776707752.2118137,409600,145.77000427246094
1776707770.3645575,425984,142.17999267578125
1776707786.589618,442368,139.6199951171875
1776707802.9082108,458752,141.94000244140625
1776707818.697823,475136,142.9499969482422
1776707836.3073683,491520,143.2899932861328
1776707852.5425642,507904,148.9600067138672
1776707868.605983,524288,154.67999267578125
1776707885.6950202,540672,152.89999389648438
1776707901.9613156,557056,150.6699981689453
1776707918.7197123,573440,153.58999633789062
1776707936.4377446,589824,155.49000549316406
1776707959.0867114,606208,153.36000061035156
1776707975.6308844,622592,157.86000061035156
1776708014.678721,638976,155.41000366210938
1776708056.9847732,655360,156.41000366210938
1776708083.626362,671744,159.77000427246094
1776708101.014524,688128,163.14999389648438
1776708119.093035,704512,163.25
1776708138.9067643,720896,160.47000122070312
1776708158.0664098,737280,163.35000610351562
1776708178.1158378,753664,165.6699981689453
1776708197.9744437,770048,158.02000427246094
1776708216.3855147,786432,159.91000366210938
1776708233.934735,802816,159.16000366210938
1776708250.9646418,819200,161.72000122070312
1776708284.5678778,835584,158.67999267578125
1776708326.7525814,851968,164.72999572753906
1776708360.6977968,868352,162.08999633789062
1776708945.1827805,884736,164.92999267578125
1776717598.698967,901120,164.5399932861328
1776717612.191062,917504,166.33999633789062
1776717625.537926,933888,172.52999877929688
1776717639.2414224,950272,175.27999877929688
1776717653.268455,966656,174.52999877929688
1776717668.0880332,983040,178.00999450683594
1776718190.7749984,999424,178.41000366210938
1776718209.938677,1015808,184.52000427246094
1776718228.6197524,1032192,183.11000061035156
1776718248.1857297,1048576,190.91000366210938
1776721193.715175,1064960,194.52999877929688
1776721223.8058772,1081344,204.05999755859375
1776721253.180458,1097728,199.8699951171875
1776721276.9753149,1114112,208.92999267578125
1776721296.4789982,1130496,221.75
1776721315.595292,1146880,233.69000244140625
1776721335.4938385,1163264,231.6300048828125
1776721360.6582942,1179648,243.9199981689453
1776721382.5383968,1196032,252.3000030517578
1776721403.3663807,1212416,262.45001220703125
1776722280.8613946,1228800,261.07000732421875
1776722307.109629,1245184,263.760009765625
1776722324.0335667,1261568,282.0899963378906
1776722340.7126641,1277952,296.4800109863281
1776722357.5435183,1294336,297.75
1776722373.4233577,1310720,316.4100036621094
1776722389.2689183,1327104,335.1700134277344
1776722405.3644965,1343488,337.8699951171875
1776722421.717417,1359872,340.9100036621094
1776722437.9289021,1376256,343.4599914550781
1776722453.9941728,1392640,351.3699951171875
1776722470.1620193,1409024,373.1000061035156
1776722486.4088628,1425408,398.8800048828125
1776722502.5246286,1441792,395.94000244140625
1776722518.6067874,1458176,384.0299987792969
1776722536.14407,1474560,404.7699890136719
1776723522.7052283,1490944,431.6300048828125
1776723540.5746663,1507328,467.5899963378906
1776723557.1075566,1523712,497.4599914550781
1776723573.8526595,1540096,547.4600219726562
1776723589.7359462,1556480,590.52001953125
1776723606.0580783,1572864,618.969970703125
1776723622.4051487,1589248,639.6099853515625
1776723638.7404027,1605632,615.7000122070312
1776723654.553427,1622016,611.1199951171875
1776723670.7111337,1638400,596.8400268554688
1776723686.4463935,1654784,628.010009765625
1776723702.899117,1671168,634.2899780273438
1776723718.8480124,1687552,673.969970703125
1776723735.622109,1703936,700.3300170898438
1776723753.4935362,1720320,710.219970703125
1776723772.2296665,1736704,699.77001953125
1776723791.2009194,1753088,664.27001953125
1776723808.7074564,1769472,652.9199829101562
1776723828.077499,1785856,668.739990234375
1776723844.8875844,1802240,669.6699829101562
1776723862.9121022,1818624,704.969970703125
1776723880.6505992,1835008,723.9199829101562
1776723898.111739,1851392,730.7000122070312
1776723918.8260329,1867776,735.1699829101562
1776723937.517189,1884160,735.2999877929688
1776723957.279238,1900544,688.1799926757812
1776723976.801428,1916928,680.4000244140625
1776723995.2130647,1933312,678.260009765625
1776724013.5466971,1949696,643.0900268554688
1776724032.9132411,1966080,666.9000244140625
1776724052.2306972,1982464,710.47998046875
1776724071.6074386,1998848,742.0800170898438
1776724090.1039364,2015232,758.2999877929688
