Wall time,Step,Value
1776707216.819723,16384,-0.918140172958374
1776707234.0636637,32768,2.5133259296417236
1776707264.7364695,49152,7.254690170288086
1776707284.8776617,65536,27.007286071777344
1776707304.178563,81920,63.311397552490234
1776707338.7342353,98304,134.97308349609375
1776707380.9572604,114688,169.4265899658203
1776707422.727622,131072,229.27862548828125
1776707449.2856498,147456,251.31411743164062
1776707469.7642658,163840,253.33985900878906
1776707488.6631837,180224,249.2690887451172
1776707512.3587067,196608,246.75729370117188
1776707536.2737947,212992,245.37681579589844
1776707565.8453667,229376,254.7914581298828
1776707582.7688448,245760,251.68276977539062
1776707599.3110983,262144,254.00537109375
1776707615.4833548,278528,267.25439453125
1776707631.816182,294912,294.2047119140625
1776707648.2673397,311296,297.7884826660156
1776707664.154385,327680,295.9408264160156
1776707680.3724532,344064,300.0646667480469
1776707696.4004207,360448,316.76617431640625
1776707713.5007982,376832,327.67791748046875
1776707733.7970948,393216,329.6527404785156
1776707752.2118645,409600,338.92340087890625
1776707770.3646011,425984,333.27081298828125
1776707786.5896914,442368,335.2494812011719
1776707802.908277,458752,349.23797607421875
1776707818.6979382,475136,356.5348815917969
1776707836.3074164,491520,368.06512451171875
1776707852.5426376,507904,384.93426513671875
1776707868.6060343,524288,407.7286376953125
1776707885.6950727,540672,408.1558532714844
1776707901.9613783,557056,409.185302734375
1776707918.7197788,573440,425.4145812988281
1776707936.4378922,589824,440.55047607421875
1776707959.086752,606208,449.1658630371094
1776707975.6309485,622592,465.32958984375
1776708014.6788812,638976,463.25286865234375
1776708056.9849346,655360,477.6197814941406
1776708083.6264744,671744,499.7077331542969
1776708101.0145724,688128,519.6696166992188
1776708119.09311,704512,527.54736328125
1776708138.9068415,720896,521.956298828125
1776708158.066488,737280,531.593994140625
1776708178.1159053,753664,550.180419921875
1776708197.9745486,770048,527.2820434570312
1776708216.3855917,786432,547.8248901367188
1776708233.9347997,802816,546.115478515625
1776708250.964717,819200,562.4371948242188
1776708284.5681438,835584,556.7178955078125
1776708326.7527483,851968,579.2937622070312
1776708360.6978633,868352,573.6758422851562
1776708945.182831,884736,584.7819213867188
1776717598.6990128,901120,587.431396484375
1776717612.19111,917504,600.7894897460938
1776717625.537962,933888,629.15966796875
1776717639.241476,950272,643.248779296875
1776717653.2684927,966656,647.1580810546875
1776717668.088089,983040,657.9522094726562
1776718190.7768137,999424,669.4244995117188
1776718209.9387531,1015808,692.9075927734375
1776718228.6198356,1032192,694.674560546875
1776718248.185797,1048576,730.7099609375
1776721193.7152553,1064960,750.4724731445312
1776721223.805969,1081344,795.564208984375
1776721253.180516,1097728,784.4039916992188
1776721276.9753585,1114112,830.7310180664062
1776721296.4790883,1130496,889.8756103515625
1776721315.5953965,1146880,937.8903198242188
1776721335.4939065,1163264,931.2393798828125
1776721360.658338,1179648,980.372802734375
1776721382.5384476,1196032,1025.3643798828125
1776721403.366433,1212416,1086.4052734375
1776722280.86161,1228800,1083.6590576171875
1776722307.1098237,1245184,1098.7562255859375
1776722324.033633,1261568,1183.9351806640625
1776722340.712712,1277952,1261.83740234375
1776722357.5435855,1294336,1283.7265625
1776722373.4234133,1310720,1379.4866943359375
1776722389.268995,1327104,1479.102294921875
1776722405.3645527,1343488,1501.3187255859375
1776722421.717462,1359872,1528.93896484375
1776722437.929069,1376256,1540.042236328125
1776722453.9942374,1392640,1572.3466796875
1776722470.1620986,1409024,1687.4927978515625
1776722486.4089339,1425408,1832.22607421875
1776722502.524683,1441792,1828.0657958984375
1776722518.6068487,1458176,1762.9984130859375
1776722536.1441236,1474560,1863.5355224609375
1776723522.70532,1490944,2005.024169921875
1776723540.5747337,1507328,2183.482666015625
1776723557.107654,1523712,2345.1904296875
1776723573.8527136,1540096,2586.671630859375
1776723589.7359946,1556480,2789.254150390625
1776723606.0581267,1572864,2929.538818359375
1776723622.4052017,1589248,3035.694580078125
1776723638.740502,1605632,2926.5859375
1776723654.5534751,1622016,2927.234130859375
1776723670.7112288,1638400,2875.694580078125
1776723686.4464438,1654784,3050.349609375
1776723702.899223,1671168,3090.185546875
1776723718.8480701,1687552,3295.975341796875
1776723735.6221573,1703936,3431.940673828125
1776723753.4936113,1720320,3496.822021484375
1776723772.2297199,1736704,3467.7431640625
1776723791.2010043,1753088,3310.961181640625
1776723808.7075205,1769472,3272.00439453125
1776723828.0775473,1785856,3362.064208984375
1776723844.8876264,1802240,3360.021484375
1776723862.912173,1818624,3541.788330078125
1776723880.6506584,1835008,3644.2890625
1776723898.111792,1851392,3690.871337890625
1776723918.826131,1867776,3733.698486328125
1776723937.517278,1884160,3754.093994140625
1776723957.2792902,1900544,3523.38427734375
1776723976.8014932,1916928,3502.976318359375
1776723995.2131228,1933312,3497.86328125
1776724013.5467637,1949696,3310.76171875
1776724032.9132948,1966080,3440.25634765625
1776724052.230755,1982464,3686.207275390625
1776724071.6075392,1998848,3868.499267578125
1776724090.1039941,2015232,3967.6240234375
