Wall time,Step,Value
1776845249.4869697,114,28.5
1776845250.8126104,209,26.125
1776845252.430672,325,27.08333396911621
1776845253.5471184,406,25.375
1776845254.753433,495,24.75
1776845255.8351536,572,23.83333396911621
1776845256.956148,653,23.321428298950195
1776845258.49865,754,23.5625
1776845259.643653,837,23.25
1776845262.0635114,1006,25.149999618530273
1776845264.3681397,1172,26.636363983154297
1776845268.139513,1404,29.25
1776845270.9813936,1567,30.134614944458008
1776845277.2075534,1986,35.46428680419922
1776845282.3755653,2308,38.46666717529297
1776845292.605484,2761,43.140625
1776845303.6795807,3220,47.35293960571289
1776845312.9318697,3705,51.45833206176758
1776845329.7033541,4184,55.05263137817383
1776845350.101082,4678,58.474998474121094
1776845367.947913,5112,60.85714340209961
1776845384.8134344,5543,62.9886360168457
1776845401.1086211,6036,65.60869598388672
1776845420.9196546,6741,70.21875
1776845430.3769302,7171,71.70999908447266
1776845447.7604322,7826,77.12000274658203
1776845458.5161188,8168,79.58999633789062
1776845471.0824716,8578,82.52999877929688
1776845488.8811176,9202,87.95999908447266
1776845506.18894,9766,92.70999908447266
1776845534.631817,10694,101.22000122070312
1776845556.1074698,11379,107.26000213623047
1776845571.216197,12088,113.33999633789062
1776845576.86288,12404,115.66999816894531
1776845584.589192,12696,116.9000015258789
1776845591.270748,12982,118.0999984741211
1776845597.1174674,13296,118.91999816894531
1776845606.6849654,13791,122.23999786376953
1776845625.694696,14681,126.94999694824219
1776845645.1680443,15676,133.67999267578125
1776845665.0967166,16691,139.3000030517578
1776845676.8147485,17364,141.44000244140625
1776845687.8158839,17912,142.07000732421875
1776845693.9163215,18232,140.47999572753906
1776845711.450043,18971,142.92999267578125
1776845721.537498,19488,143.75999450683594
1776845733.1513717,20107,145.63999938964844
1776845741.3273926,20538,145.02000427246094
1776845751.4638624,21056,143.14999389648438
1776845762.3240643,21683,145.1199951171875
1776845774.3853087,22345,145.19000244140625
1776845782.7210915,22815,146.47000122070312
1776845793.5656862,23409,148.30999755859375
1776845812.9921653,24385,151.8300018310547
1776845830.382728,25253,154.8699951171875
1776845838.0301824,25676,149.82000732421875
1776845849.178995,26290,149.11000061035156
1776845860.808407,26908,148.1999969482422
1776845871.597608,27511,151.07000732421875
1776845882.4132926,28156,154.60000610351562
1776845898.6217272,29030,160.47999572753906
1776845908.5420742,29633,163.3699951171875
1776845917.959457,30209,164.17999267578125
1776845930.3460057,30870,161.88999938964844
1776845940.8548224,31434,157.5800018310547
1776845952.2868555,32026,153.35000610351562
1776845964.202938,32694,153.3000030517578
1776845973.4446797,33214,153.02000427246094
1776845985.9885564,33932,157.0
1776846003.8549738,34933,159.6199951171875
1776846027.4369721,36257,167.69000244140625
1776846066.3608356,38396,182.88999938964844
1776846076.3838284,38896,183.5800018310547
1776846098.5491576,40059,190.02999877929688
1776846111.7627451,40812,191.2899932861328
1776846125.570189,41565,192.1999969482422
1776846153.0023255,43019,202.0399932861328
1776846167.7424278,43798,203.88999938964844
1776846183.9500484,44597,202.1199951171875
1776846239.5965507,47625,223.72000122070312
1776846261.287632,48914,232.3800048828125
1776846293.395235,50797,245.07000732421875
1776846301.1465502,51232,243.24000549316406
1776846326.670544,52564,250.52999877929688
1776846352.7091637,54036,258.79998779296875
1776846391.397039,56367,273.3699951171875
1776846407.0029569,57143,275.1000061035156
1776846420.7616723,57885,276.760009765625
1776846431.8014493,58568,276.9800109863281
1776846451.9554737,59793,283.5899963378906
1776846466.82964,60653,286.2699890136719
1776846496.0074887,62106,294.1199951171875
1776846518.379439,63220,300.05999755859375
1776846533.3459685,63902,299.70001220703125
1776846553.8843994,64940,300.07000732421875
1776846565.194407,65548,292.9100036621094
1776846576.6828814,66112,277.1600036621094
1776846590.1893966,66709,278.1300048828125
1776846606.9469185,67446,273.8699951171875
1776846619.6354952,67975,271.6300048828125
1776846630.7897127,68498,269.3299865722656
1776846642.7200413,69038,260.19000244140625
1776846659.001426,69767,259.69000244140625
1776846671.432707,70462,258.6499938964844
1776846682.6274781,71140,235.14999389648438
1776846699.4365463,72166,232.52000427246094
1776846731.019649,74018,232.2100067138672
1776846744.570177,74791,235.58999633789062
1776846765.5035746,76064,235.0
1776846783.4429746,77041,230.0500030517578
1776846807.0769653,78371,220.0399932861328
1776846849.1480165,80630,234.8699951171875
1776846879.80156,82497,246.1199951171875
1776846926.6827364,85334,267.6600036621094
1776846951.4931235,86867,270.739990234375
1776847010.2562191,89168,285.1499938964844
1776847025.959858,89966,278.6000061035156
1776847039.6008515,90640,274.20001220703125
1776847078.6529686,92814,289.1199951171875
1776847105.7088532,94381,294.4100036621094
1776847139.1106772,95894,303.4599914550781
1776847161.2664542,96997,308.8500061035156
1776847195.5881765,98478,317.69000244140625
1776847229.537449,99902,324.55999755859375
