Wall time,Step,Value
1777400433.7090461,87,2.9209885597229004
1777400434.20945,171,2.646660089492798
1777400434.667437,253,1.1836899518966675
1777400435.246281,366,1.5371559858322144
1777400436.05109,522,4.419530868530273
1777400436.803185,668,4.13962459564209
1777400437.596113,821,4.510350704193115
1777400440.095291,1289,6.276315689086914
1777400445.0190191,2126,17.15160369873047
1777400453.492343,3625,51.45772171020508
1777400457.5750751,4365,75.23597717285156
1777400461.607619,5096,88.3756332397461
1777400464.81559,5667,97.52207946777344
1777400469.973162,6581,110.17337036132812
1777400472.669516,7066,113.33832550048828
1777400475.095191,7500,118.28902435302734
1777400478.014844,8018,121.33741760253906
1777400481.079062,8563,119.32621765136719
1777400484.006905,9085,117.20623016357422
1777400487.111922,9626,122.11685180664062
1777400490.375045,10210,127.65184020996094
1777400493.133997,10699,124.96297454833984
1777400494.9781928,11030,123.71456909179688
1777400498.786564,11714,130.7099151611328
1777400507.141901,13144,143.5661163330078
1777400511.5608509,13910,158.47813415527344
1777400514.50003,14418,166.0536651611328
1777400516.240628,14720,170.03036499023438
1777400517.544248,14946,172.3437042236328
1777400520.800745,15510,179.66957092285156
1777400524.2416902,16087,187.31497192382812
1777400526.748082,16515,192.02481079101562
1777400528.870815,16881,195.95143127441406
1777400530.965643,17243,196.51597595214844
1777400533.768235,17723,187.1036834716797
1777400535.633848,18044,177.36492919921875
1777400538.317446,18504,174.13204956054688
1777400541.2276359,18998,173.1600341796875
1777400543.468268,19385,167.2469024658203
1777400547.5642319,20094,171.15029907226562
1777400551.8131452,20814,175.56607055664062
1777400555.633138,21470,178.32424926757812
1777400559.044371,22058,184.1300506591797
1777400563.143373,22766,191.81228637695312
1777400566.013812,23260,189.53460693359375
1777400569.824161,23916,188.72726440429688
1777400573.792445,24588,195.2412872314453
1777400578.441439,25378,201.10963439941406
1777400581.2923489,25847,195.10403442382812
1777400584.5240269,26387,180.29100036621094
1777400587.312432,26853,169.0834503173828
1777400589.8451881,27253,164.37693786621094
1777400592.8129432,27733,165.42019653320312
1777400595.713699,28213,169.27532958984375
1777400598.80443,28658,165.8425750732422
1777400604.011518,29440,165.9090118408203
1777400609.6551082,30270,172.8406524658203
1777400612.911582,30754,174.49697875976562
1777400617.08185,31370,180.8307647705078
1777400621.630954,32037,189.0884246826172
1777400627.65989,32879,202.3090057373047
1777400632.396289,33689,213.6513214111328
1777400636.158706,34325,219.95394897460938
1777400639.5452049,34888,226.05992126464844
1777400642.458245,35369,225.30772399902344
1777400645.4799051,35886,223.294921875
1777400647.7774348,36281,222.2867431640625
1777400650.889769,36828,222.55116271972656
1777400654.177984,37416,224.54258728027344
1777400657.138452,37939,231.1168975830078
1777400660.023453,38448,233.68838500976562
1777400663.134002,39003,236.28369140625
1777400667.403966,39729,245.79159545898438
1777400670.130539,40213,250.71559143066406
1777400673.742181,40834,257.7733459472656
1777400678.916162,41703,272.72174072265625
1777400684.861474,42722,289.03643798828125
1777400690.2709188,43651,301.64813232421875
1777400696.585355,44657,315.6518859863281
1777400702.0395882,45521,328.08221435546875
1777400707.414238,46286,336.1639404296875
